n_walkers,n_volume,mu,lmax,D,surface,TargetShape,n_targets,fixed_target_dist,detection_time,probability,surface_selector,first_touch_steps,second_touch_steps,delta_selector,delta
1,134217728,1.4,256,303.00,1920.00,Line,1,0.0,5564608.24,1.00,1,399700,-1,0,0.00
1,134217728,1.4,256,475.00,3000.00,Line,1,0.0,2987542.37,1.00,1,212582,-1,0,0.00
1,134217728,1.6,256,4.37,60.00,Ball_no_boundary,1,0.0,119905036.52,1.00,1,14904565,-1,0,0.00
1,134217728,1.6,256,6.18,120.00,Ball_no_boundary,1,0.0,16378382.08,1.00,1,2028855,-1,0,0.00
1,134217728,1.6,256,8.74,240.00,Ball_no_boundary,1,0.0,6181476.12,1.00,1,767175,-1,0,0.00
1,134217728,1.6,256,12.36,480.00,Ball_no_boundary,1,0.0,4932965.95,1.00,1,618118,-1,0,0.00
1,134217728,1.6,256,17.48,960.00,Ball_no_boundary,1,0.0,1173456.79,1.00,1,146294,-1,0,0.00
1,134217728,1.6,256,24.72,1920.00,Ball_no_boundary,1,0.0,1133744.70,1.00,1,142411,-1,0,0.00
1,134217728,1.6,256,30.90,3000.00,Ball_no_boundary,1,0.0,1436182.58,1.00,1,178368,-1,0,0.00
1,134217728,1.6,256,7.00,60.00,Line,1,0.0,5431074.84,1.00,1,676481,-1,0,0.00
1,134217728,1.6,256,17.00,120.00,Line,1,0.0,26208077.96,1.00,1,3257845,-1,0,0.00
1,134217728,1.6,256,36.00,240.00,Line,1,0.0,14816964.07,1.00,1,1842263,-1,0,0.00
1,134217728,1.6,256,74.00,480.00,Line,1,0.0,1319964.88,1.00,1,162826,-1,0,0.00
1,134217728,1.6,256,150.00,960.00,Line,1,0.0,6380714.05,1.00,1,793623,-1,0,0.00
1,134217728,1.6,256,303.00,1920.00,Line,1,0.0,579486.79,1.00,1,71638,-1,0,0.00
1,134217728,1.6,256,475.00,3000.00,Line,1,0.0,330787.60,1.00,1,41191,-1,0,0.00
1,134217728,1.8,256,4.37,60.00,Ball_no_boundary,1,0.0,46164681.04,1.00,1,9687068,-1,0,0.00
1,134217728,1.8,256,6.18,120.00,Ball_no_boundary,1,0.0,5555741.81,1.00,1,1162552,-1,0,0.00
1,134217728,1.8,256,8.74,240.00,Ball_no_boundary,1,0.0,1172489.91,1.00,1,245217,-1,0,0.00
1,134217728,1.8,256,12.36,480.00,Ball_no_boundary,1,0.0,1855016.15,1.00,1,384681,-1,0,0.00
1,134217728,1.8,256,17.48,960.00,Ball_no_boundary,1,0.0,430343.56,1.00,1,92323,-1,0,0.00
1,134217728,1.8,256,24.72,1920.00,Ball_no_boundary,1,0.0,87114.05,1.00,1,18093,-1,0,0.00
1,134217728,1.8,256,30.90,3000.00,Ball_no_boundary,1,0.0,2018452.67,1.00,1,421042,-1,0,0.00
1,134217728,1.8,256,7.00,60.00,Line,1,0.0,114989747.34,1.00,1,24112981,-1,0,0.00
1,134217728,1.8,256,17.00,120.00,Line,1,0.0,16399452.92,1.00,1,3437181,-1,0,0.00
1,134217728,1.8,256,36.00,240.00,Line,1,0.0,5536993.89,1.00,1,1162492,-1,0,0.00
1,134217728,1.8,256,74.00,480.00,Line,1,0.0,6482619.41,1.00,1,1356790,-1,0,0.00
1,134217728,1.8,256,150.00,960.00,Line,1,0.0,5111432.21,1.00,1,1064304,-1,0,0.00
1,134217728,1.8,256,303.00,1920.00,Line,1,0.0,305950.74,1.00,1,62451,-1,0,0.00
1,134217728,1.8,256,475.00,3000.00,Line,1,0.0,2407416.04,1.00,1,501547,-1,0,0.00
1,134217728,2.0,256,4.37,60.00,Ball_no_boundary,1,0.0,2028734.63,1.00,1,671416,-1,0,0.00
1,134217728,2.0,256,6.18,120.00,Ball_no_boundary,1,0.0,21144529.50,1.00,1,6980901,-1,0,0.00
1,134217728,2.0,256,8.74,240.00,Ball_no_boundary,1,0.0,4153415.37,1.00,1,1375415,-1,0,0.00
1,134217728,2.0,256,12.36,480.00,Ball_no_boundary,1,0.0,49039.91,1.00,1,16002,-1,0,0.00
1,134217728,2.0,256,17.48,960.00,Ball_no_boundary,1,0.0,1214323.92,1.00,1,398498,-1,0,0.00
1,134217728,2.0,256,24.72,1920.00,Ball_no_boundary,1,0.0,964677.57,1.00,1,320416,-1,0,0.00
1,134217728,2.0,256,30.90,3000.00,Ball_no_boundary,1,0.0,1022644.73,1.00,1,338407,-1,0,0.00
1,134217728,2.0,256,7.00,60.00,Line,1,0.0,7326841.73,1.00,1,2414754,-1,0,0.00
1,134217728,2.0,256,17.00,120.00,Line,1,0.0,12856503.20,1.00,1,4236604,-1,0,0.00
1,134217728,2.0,256,36.00,240.00,Line,1,0.0,26234450.43,1.00,1,8660023,-1,0,0.00
1,134217728,2.0,256,74.00,480.00,Line,1,0.0,2463211.60,1.00,1,812740,-1,0,0.00
1,134217728,2.0,256,150.00,960.00,Line,1,0.0,982325.07,1.00,1,324191,-1,0,0.00
1,134217728,2.0,256,303.00,1920.00,Line,1,0.0,568306.45,1.00,1,187028,-1,0,0.00
1,134217728,2.0,256,475.00,3000.00,Line,1,0.0,135197.53,1.00,1,45295,-1,0,0.00
