n_walkers,n_volume,mu,lmax,D,TargetShape,DiskDiameter,n_targets,fixed_target_dist,detection_time,probability
1,134217728,1.4,256,16.90,Ball_no_boundary,400,1,0.0,2310476.30,1.00
1,134217728,1.4,256,450.00,Line,450,1,0.0,2546413.81,1.00
1,134217728,1.4,256,17.57,Ball_no_boundary,450,1,0.0,1868417.48,1.00
1,134217728,1.4,256,500.00,Line,500,1,0.0,8530107.56,1.00
1,134217728,1.4,256,18.20,Ball_no_boundary,500,1,0.0,586628.94,1.00
1,134217728,1.6,256,10.00,Line,10,1,0.0,49810174.22,1.00
1,134217728,1.6,256,5.24,Ball_no_boundary,10,1,0.0,59020231.37,1.00
1,134217728,1.6,256,25.00,Line,25,1,0.0,44457468.16,1.00
1,134217728,1.6,256,6.87,Ball_no_boundary,25,1,0.0,43113708.49,1.00
1,134217728,1.6,256,50.00,Line,50,1,0.0,57889965.25,1.00
1,134217728,1.6,256,8.55,Ball_no_boundary,50,1,0.0,7441797.05,1.00
1,134217728,1.6,256,100.00,Line,100,1,0.0,134705.15,1.00
1,134217728,1.6,256,10.70,Ball_no_boundary,100,1,0.0,6769958.82,1.00
1,134217728,1.6,256,200.00,Line,200,1,0.0,451892.29,1.00
1,134217728,1.6,256,13.43,Ball_no_boundary,200,1,0.0,2074179.15,1.00
1,134217728,1.6,256,250.00,Line,250,1,0.0,4532132.81,1.00
1,134217728,1.6,256,14.46,Ball_no_boundary,250,1,0.0,2263205.69,1.00
1,134217728,1.6,256,300.00,Line,300,1,0.0,4882731.71,1.00
1,134217728,1.6,256,15.36,Ball_no_boundary,300,1,0.0,584370.68,1.00
1,134217728,1.6,256,350.00,Line,350,1,0.0,2125118.79,1.00
1,134217728,1.6,256,16.16,Ball_no_boundary,350,1,0.0,879986.74,1.00
1,134217728,1.6,256,400.00,Line,400,1,0.0,333644.99,1.00
1,134217728,1.6,256,16.90,Ball_no_boundary,400,1,0.0,93007.06,1.00
1,134217728,1.6,256,450.00,Line,450,1,0.0,1640445.13,1.00
1,134217728,1.6,256,17.57,Ball_no_boundary,450,1,0.0,1290821.67,1.00
1,134217728,1.6,256,500.00,Line,500,1,0.0,1942096.73,1.00
1,134217728,1.6,256,18.20,Ball_no_boundary,500,1,0.0,4023891.59,1.00
1,134217728,1.8,256,10.00,Line,10,1,0.0,30326488.49,1.00
1,134217728,1.8,256,5.24,Ball_no_boundary,10,1,0.0,4462416.64,1.00
1,134217728,1.8,256,25.00,Line,25,1,0.0,5614810.09,1.00
1,134217728,1.8,256,6.87,Ball_no_boundary,25,1,0.0,30364004.87,1.00
1,134217728,1.8,256,50.00,Line,50,1,0.0,3552633.65,1.00
1,134217728,1.8,256,8.55,Ball_no_boundary,50,1,0.0,5264565.46,1.00
1,134217728,1.8,256,100.00,Line,100,1,0.0,3225442.79,1.00
1,134217728,1.8,256,10.70,Ball_no_boundary,100,1,0.0,322327.28,1.00
1,134217728,1.8,256,200.00,Line,200,1,0.0,332228.97,1.00
1,134217728,1.8,256,13.43,Ball_no_boundary,200,1,0.0,352718.34,1.00
1,134217728,1.8,256,250.00,Line,250,1,0.0,1590789.86,1.00
